,verbatimScientificName,verbatimElement,scientificName,element,elementID
0,Sylvilagus sp.,atlas,Sylvilagus,,
1,Sylvilagus sp.,astragalus,Sylvilagus,plastron: xiphiplastron,UBERON:0011661
2,Sylvilagus sp.,dentary,Sylvilagus,dentary,UBERON:0004742
3,Artiodactyla,lumbar vertebra,Artiodactyla,,
4,Bos taurus,phalanx,Bos taurus,phalanx,UBERON:0003221
5,Bos taurus,molar,Bos taurus,molar,UBERON:0003655
6,"Mammal, Large",,Mammalia,,
7,Mammal,,Mammalia,,
8,Aves,phalanges,Aves,,
9,Gavia immer,humerus,Gavia immer,humerus,UBERON:0000976
10,Testudines,,Testudines,,
11,Testudines,,Testudines,,
12,Kinosternon sp.,epi-hyoplastron,Kinosternon,,
13,Kinosternon sp.,pleural 2,Kinosternon,,
14,Kinosternon sp.,pleural 3,Kinosternon,,
15,Kinosternon sp.,pleural 2,Kinosternon,,
16,Kinosternon sp.,"peripheral, 5",Kinosternon,,
17,Kinosternon sp.,neural (?2 or 3),Kinosternon,,
18,Colubridae,vertebra,Colubridae,vertebra,UBERON:0002412
19,Carcharhinidae,tooth,Carcharhinidae,tooth,UBERON:0001091
20,Clupeidae,vertebrae,Clupeidae,vertebra,UBERON:0002412
21,Ariidae,neurocranium,Ariidae,,
22,Ariidae,vertebrae,Ariidae,vertebra,UBERON:0002412
23,Ariidae,vertebra,Ariidae,vertebra,UBERON:0002412
24,Ariidae,cleithrum,Ariidae,,
25,Sciaenidae,vertebrae,Sciaenidae,vertebra,UBERON:0002412
26,Sciaenidae cf Cynoscion,operculum,Cynoscion,,
27,Sciaenidae cf Cynoscion,vertebra,Cynoscion,vertebra,UBERON:0002412
28,Pogonias cromis,infrapharyngeal grinder,Pogonias cromis,,
29,Pogonias cromis,tooth,Pogonias cromis,tooth,UBERON:0001091
30,Sciaenops ocellata,infrapharyngeal grinder,Sciaenops ocellatus,,
31,Sciaenops ocellata,dentary,Sciaenops ocellatus,dentary,UBERON:0004742
32,Sciaenops ocellata,articular,Sciaenops ocellatus,,
33,Archosargus sp.,premaxilla,Archosargus,,
34,Archosargus sp.,premaxilla,Archosargus,,
35,Archosargus sp.,?articular,Archosargus,,
36,Archosargus sp.,vertebrae,Archosargus,vertebra,UBERON:0002412
37,Mugil sp.,vertebrae,Mugil,vertebra,UBERON:0002412
38,Mugil sp.,vertebrae,Mugil,vertebra,UBERON:0002412
39,Paralichthys sp.,vertebrae,Paralichthys,vertebra,UBERON:0002412
40,Paralichthys sp.,premaxilla,Paralichthys,,
41,Paralichthys sp.,dentary/premaxilla,Paralichthys,,
42,Paralichthys sp.,,Paralichthys,,
43,Unidentified fish,,,,
44,Unidentified fish,,,,
45,Unidentified fish,scales,,scale,UBERON:0002542
46,Unidentified,,Animalia,,
47,Unidentified,,Animalia,,
48,Mammal,,Mammalia,,
49,Ariidae,vertebra,Ariidae,vertebra,UBERON:0002412
50,Sparidae,premaxilla,Sparidae,,
51,Unidentified fish,,,,
52,Testudines,,Testudines,,
53,Ariidae,neurocranium,Ariidae,,
54,Ariidae,pectoral spine,Ariidae,spine: pectoral,UBERON:2001787
55,Mugil sp.,vertebra,Mugil,vertebra,UBERON:0002412
56,Paralichthys sp.,vertebrae,Paralichthys,vertebra,UBERON:0002412
57,Unidentified fish,,,,
58,Unidentified fish,scales,,scale,UBERON:0002542
59,Unidentified,,Animalia,,
